source,source_build_mode,source_cluster_id,source_cluster_size,target,n_samples,source_nodes,suff_median,suff_mean,nec_median,nec_mean,random_suff_median,delta_vs_random_median,delta_vs_random_mean,suff_vs_within_ratio,delta_vs_within_ratio
cluster_1,compact_support,1,8,cluster_1,8,4,0.8768942770547334,0.9120215955798023,0.9581669119192768,0.9831407496251389,0.19518604162287156,0.7389244558258643,0.740129656031685,1.0,1.0
cluster_1,compact_support,1,8,all_valid,139,4,0.8611111111111112,0.8930004809849984,0.9148936170212766,0.9506835077230904,0.08108108108108109,0.7878787878787878,0.7750026083952674,0.9820010617509856,1.0662507942008894
global_core,global_aggregate,,8,cluster_0,57,8,0.8888888888888888,0.8936736138704131,0.9512195121951219,0.9739431182846373,0.18461538461538463,0.726027397260274,0.7183446006689429,nan,nan
global_core,global_aggregate,,8,cluster_6,15,8,0.9130434782608695,0.959525250906658,0.8813559322033898,0.8639343377200125,0.22580645161290322,0.7101449275362318,0.6798353376936755,nan,nan
global_core,global_aggregate,,8,cluster_12,12,8,0.9268461374760588,0.9353110288439018,0.9245524296675192,0.9124582254420176,0.1883445945945946,0.8233695652173914,0.76166721398798,nan,nan
global_core,global_aggregate,,8,cluster_8,11,8,0.94,0.9486258799364365,0.8793103448275862,0.9116677564345642,0.24,0.6818181818181818,0.6800581724251888,nan,nan
global_core,global_aggregate,,8,cluster_2,9,8,0.8484848484848485,0.8529095998384508,0.9464285714285714,0.9533221464686503,0.07142857142857142,0.7380952380952381,0.7729342091425158,nan,nan
global_core,global_aggregate,,8,cluster_10,8,8,0.8439189189189189,0.888268789554485,0.8772885789014822,0.9008927290330743,0.5325268817204301,0.3503401360544217,0.46993349981659266,nan,nan
global_core,global_aggregate,,8,cluster_1,8,8,0.9239185110663983,0.9386399418696731,0.9001865671641791,0.9349656936160508,0.22103120759837178,0.6805970149253732,0.7545964975536028,nan,nan
global_core,global_aggregate,,8,all_valid,139,8,0.9107142857142857,0.9217866560681942,0.9322033898305084,0.9375319640979692,0.2054794520547945,0.7101449275362318,0.6974907204050526,nan,nan
